unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62484E+12,6/28/2021 0:00,BTC/USDT,34687.71,34850,34425,34500.11,17734.701,614327746.7,133815
1.62475E+12,6/27/2021 0:00,BTC/USDT,32250.15,34762,31960,34687.71,897147.453,29675701648,7266511
1.62467E+12,6/26/2021 0:00,BTC/USDT,31569.18,32720.52,30120,32255.56,1091384.749,34169368151,8830795
1.62458E+12,6/25/2021 0:00,BTC/USDT,34644.65,35500,31250,31568.07,1093051.375,36220815800,8575198
1.62449E+12,6/24/2021 0:00,BTC/USDT,33650,35406.74,32300,34644.64,774899.165,26142284529,6393985
1.62441E+12,6/23/2021 0:00,BTC/USDT,32496,34867.77,31711.5,33649,960700.369,32385728391,8005763
1.62432E+12,6/22/2021 0:00,BTC/USDT,31606,33274,28780.01,32496,1531824.85,48118035156,12592839
1.62423E+12,6/21/2021 0:00,BTC/USDT,35588.63,35746.28,31250.51,31606,1397330.662,45999742163,11529993
1.62415E+12,6/20/2021 0:00,BTC/USDT,35483.01,36155,33312,35588.64,829896.441,28839255735,6811270
1.62406E+12,6/19/2021 0:00,BTC/USDT,35811.41,36471.8,34704.08,35483,642185.382,22933053074,5504522
1.62397E+12,6/18/2021 0:00,BTC/USDT,38060.71,38198,35100,35811.41,790379.249,29108720481,6722621
1.62389E+12,6/17/2021 0:00,BTC/USDT,38344.97,39565,37334.76,38060.71,603849.861,23274089670,5362882
1.6238E+12,6/16/2021 0:00,BTC/USDT,40132.86,40495,38105,38344.97,673235.496,26431149487,6317711
1.62372E+12,6/15/2021 0:00,BTC/USDT,40489.1,41413,39500,40132.86,632066.994,25426404029,5854306
1.62363E+12,6/14/2021 0:00,BTC/USDT,38993.66,41000,38720,40489.1,704979.881,28043323954,6811137
1.62354E+12,6/13/2021 0:00,BTC/USDT,35535.95,39374.18,34739.06,38993.65,647035.314,23729185500,6085040
1.62346E+12,6/12/2021 0:00,BTC/USDT,37300.41,37432.95,34585.9,35537.05,623532.476,22229082761,5782385
1.62337E+12,6/11/2021 0:00,BTC/USDT,36669.65,37679.54,35900,37300.42,586122.898,21668792471,5557717
1.62328E+12,6/10/2021 0:00,BTC/USDT,37369.99,38489,35750,36669.66,803185.699,29775084408,6960056
1.6232E+12,6/9/2021 0:00,BTC/USDT,33372.58,37511.31,32390,37368.45,1031014.087,36050659489,8470399
1.62311E+12,6/8/2021 0:00,BTC/USDT,33550.97,34061.57,30969,33372.58,976693.026,31912200461,8000201
1.62302E+12,6/7/2021 0:00,BTC/USDT,35801.71,36820,33200,33550.96,636735.873,22666564580,5458401
1.62294E+12,6/6/2021 0:00,BTC/USDT,35497.93,36521.16,35201.86,35801.71,443601.064,15937978041,3944742
1.62285E+12,6/5/2021 0:00,BTC/USDT,36828.03,37900.49,34800,35498.62,631028.448,22946553087,5611429
1.62276E+12,6/4/2021 0:00,BTC/USDT,39247.4,39297.35,35552.51,36828.03,700625.866,25922946607,6025185
1.62268E+12,6/3/2021 0:00,BTC/USDT,37570,39470,37150.15,39247.4,507429.005,19590443295,4505482
1.62259E+12,6/2/2021 0:00,BTC/USDT,36694.37,38232.99,35905,37569.99,441719.806,16479965808,4080217
1.62251E+12,6/1/2021 0:00,BTC/USDT,37244.36,37893.76,35500,36693.41,590822.54,21609364827,5297320
1.62242E+12,5/31/2021 0:00,BTC/USDT,35651.8,37500,34150,37243.38,635082.121,22929964892,5580461
1.62233E+12,5/30/2021 0:00,BTC/USDT,34611.95,36501,33356,35651.81,511834.746,18116421636,4973296
1.62225E+12,5/29/2021 0:00,BTC/USDT,35670.99,37375,33650,34611.94,733902.825,25787790807,7000689
1.62216E+12,5/28/2021 0:00,BTC/USDT,38527.38,38888.35,34689.57,35670.99,832363.425,30299787312,7510187
1.62207E+12,5/27/2021 0:00,BTC/USDT,39224.21,40438.82,37133.22,38527.38,543338.566,21083767719,5251225
1.62199E+12,5/26/2021 0:00,BTC/USDT,38326.84,40900,37804.76,39224.2,577032.81,22649858074,5587876
1.6219E+12,5/25/2021 0:00,BTC/USDT,38783.58,39790.05,36439.32,38326.84,598836.411,22712004629,6334066
1.62181E+12,5/24/2021 0:00,BTC/USDT,34656.53,39917.09,34366,38779.66,707903.071,26315302277,7477510
1.62173E+12,5/23/2021 0:00,BTC/USDT,37436,38261.71,31096.7,34651.6,996815.017,34118866979,11641510
1.62164E+12,5/22/2021 0:00,BTC/USDT,37210.01,38851.34,35201.11,37432.58,588166.784,21993863635,6992444
1.62156E+12,5/21/2021 0:00,BTC/USDT,40500,42270.42,33400,37211.02,930671.747,35509680104,10769140
1.62147E+12,5/20/2021 0:00,BTC/USDT,36689.14,42460,34882,40500.3,775185.113,30672617975,9532573
1.62138E+12,5/19/2021 0:00,BTC/USDT,42882.54,43615.93,28688,36689.14,1373851.849,52959873010,14748747
1.6213E+12,5/18/2021 0:00,BTC/USDT,43565.11,45846.61,42268,42882.53,590358.592,25938880317,5914414
1.62121E+12,5/17/2021 0:00,BTC/USDT,46429.28,46655,42151,43566.18,809129.365,35658317192,8158638
1.62112E+12,5/16/2021 0:00,BTC/USDT,46794.62,49829.39,43866,46429.28,604537.63,28364127432,6085883
1.62104E+12,5/15/2021 0:00,BTC/USDT,49873.26,50709.43,46584.32,46793.41,442023.496,21481317003,4479965
1.62095E+12,5/14/2021 0:00,BTC/USDT,49706.27,51533,48870.41,49873.27,319069.002,16003223042,3217006
1.62086E+12,5/13/2021 0:00,BTC/USDT,49596.75,51358,45596.32,49707.9,652476.689,32261339755,7526904
1.62078E+12,5/12/2021 0:00,BTC/USDT,56712.7,58049.99,48503.74,49595.76,472329.152,25827757900,4959229
1.62069E+12,5/11/2021 0:00,BTC/USDT,55869.41,56908.66,54541.33,56710.43,267226.104,14894271373,2884389
1.6206E+12,5/10/2021 0:00,BTC/USDT,58292.53,59654,53250,55869.67,396237.133,22695249845,4094344
1.62052E+12,5/9/2021 0:00,BTC/USDT,58926.36,59335.19,56316,58292.53,245954.014,14240035981,2634641
1.62043E+12,5/8/2021 0:00,BTC/USDT,57350.89,59590.96,56961.25,58924.98,264906.729,15519326694,2983532
1.62035E+12,5/7/2021 0:00,BTC/USDT,56435.35,58800,55300,57350.88,256159.504,14595837164,2804212
