unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.62484E+12,6/28/2021 0:00,BTC/USDT,34687.71,34850,34425,34526.87,18052.711,625309104.8,135807
1.62483E+12,6/27/2021 23:00,BTC/USDT,34391.43,34762,34167.4,34687.71,36431.066,1255179865,296617
1.62483E+12,6/27/2021 22:00,BTC/USDT,32839.99,34611.33,32781.22,34392.99,91503.506,3103785435,713428
1.62483E+12,6/27/2021 21:00,BTC/USDT,32607.51,32849,32377.3,32839.99,23761.311,775204243.6,219172
1.62482E+12,6/27/2021 20:00,BTC/USDT,32793.43,32922,32593.2,32606.24,17140.266,561384958.5,149461
1.62482E+12,6/27/2021 19:00,BTC/USDT,32700.51,32951.48,32557.19,32793.43,16036.486,525294890.3,151797
1.62482E+12,6/27/2021 18:00,BTC/USDT,33000,33000.4,32550,32700.51,31245.252,1022202908,258028
1.62481E+12,6/27/2021 17:00,BTC/USDT,32981.08,33098.91,32850.06,33000.01,17694.647,583583168.7,154771
1.62481E+12,6/27/2021 16:00,BTC/USDT,33171.26,33400,32811,32981.08,38243.246,1264278757,328353
1.62481E+12,6/27/2021 15:00,BTC/USDT,33225.34,33244.85,32860,33171.2,30686.238,1015242400,271515
1.6248E+12,6/27/2021 14:00,BTC/USDT,33085.4,33250,32694.55,33225.34,41485.3,1368762003,368555
1.6248E+12,6/27/2021 13:00,BTC/USDT,33292.8,33444,32892.72,33085.4,44383.283,1472347242,362883
1.6248E+12,6/27/2021 12:00,BTC/USDT,33213.99,33562,33026.55,33292.81,40876.592,1360537176,329829
1.62479E+12,6/27/2021 11:00,BTC/USDT,32673.15,33410,32528.71,33214,53096.252,1751929862,415890
1.62479E+12,6/27/2021 10:00,BTC/USDT,32540.29,32796.93,32333,32674.53,40904.434,1332984195,322886
1.62478E+12,6/27/2021 9:00,BTC/USDT,32988.47,33149,32412,32540.29,52114.044,1706828998,396460
1.62478E+12,6/27/2021 8:00,BTC/USDT,33252,33419,32950,32988.47,35285.589,1171554326,274428
1.62478E+12,6/27/2021 7:00,BTC/USDT,33044.66,33450,32981,33252,37874.423,1259319412,295722
1.62477E+12,6/27/2021 6:00,BTC/USDT,32900,33191.99,32811.92,33044.67,26977.113,890278630.7,215909
1.62477E+12,6/27/2021 5:00,BTC/USDT,33115.53,33299,32771.51,32899.99,30006.157,991274253.3,242175
1.62477E+12,6/27/2021 4:00,BTC/USDT,33119.04,33320,32862.74,33114.22,31124.384,1028380783,250793
1.62476E+12,6/27/2021 3:00,BTC/USDT,33059.19,33151.57,32712.83,33119.04,28484.063,938918089.4,237354
1.62476E+12,6/27/2021 2:00,BTC/USDT,32839.11,33187.49,32640,33059.2,38532.293,1267948287,290698
1.62476E+12,6/27/2021 1:00,BTC/USDT,32337.45,32940,32228.68,32839.1,39358.329,1285970524,312155
1.62475E+12,6/27/2021 0:00,BTC/USDT,32250.15,32600,31960,32337.54,53903.179,1742511241,407632
1.62475E+12,6/26/2021 23:00,BTC/USDT,31736.84,32289.92,31601,32255.56,33024.094,1052685985,265631
1.62474E+12,6/26/2021 22:00,BTC/USDT,31382.01,31781.44,31338.53,31736.84,22173.414,700256916.3,184816
1.62474E+12,6/26/2021 21:00,BTC/USDT,31281.92,31420,30888.04,31377.92,25272.894,786979389,229748
1.62474E+12,6/26/2021 20:00,BTC/USDT,31561.63,31619.52,31065.4,31281.92,27297.027,853396972.3,228362
1.62473E+12,6/26/2021 19:00,BTC/USDT,31572.17,31748,31429.08,31561.63,20262.842,639856362.4,172356
1.62473E+12,6/26/2021 18:00,BTC/USDT,31666.25,31899,31410,31572.63,34580.439,1094172442,280936
1.62473E+12,6/26/2021 17:00,BTC/USDT,31227.04,31750,31023.25,31665.47,42897.234,1343231993,336777
1.62472E+12,6/26/2021 16:00,BTC/USDT,31512.07,31544.56,30760.67,31227.05,52493.461,1631941344,429709
1.62472E+12,6/26/2021 15:00,BTC/USDT,31240.01,31600,30903.51,31511.57,55602.195,1734847610,437758
1.62472E+12,6/26/2021 14:00,BTC/USDT,30798.93,31466,30481.06,31240,68499.177,2115637012,535626
1.62471E+12,6/26/2021 13:00,BTC/USDT,31267.27,31753.43,30740.7,30799.99,66543.862,2077928071,532345
1.62471E+12,6/26/2021 12:00,BTC/USDT,31758.44,31984.87,31257,31263.19,53915.911,1706599384,440360
1.62471E+12,6/26/2021 11:00,BTC/USDT,31064.09,31877.56,31063.1,31758.44,63545.572,2003745349,497958
1.6247E+12,6/26/2021 10:00,BTC/USDT,31011.73,31242.01,30726.95,31064.09,46731.717,1447626294,386782
1.6247E+12,6/26/2021 9:00,BTC/USDT,30381.27,31258.88,30250.13,31013.3,75255.97,2312977772,597803
1.62469E+12,6/26/2021 8:00,BTC/USDT,30700,30850,30120,30380.52,95423.37,2901110131,777605
1.62469E+12,6/26/2021 7:00,BTC/USDT,31710.49,31798.03,30620,30700,85361.425,2654174140,678328
1.62469E+12,6/26/2021 6:00,BTC/USDT,32209.14,32415.56,31616.4,31710.49,35905.24,1148572195,292271
1.62468E+12,6/26/2021 5:00,BTC/USDT,32327.56,32720.52,32072.05,32209.15,35433.468,1146744067,289958
1.62468E+12,6/26/2021 4:00,BTC/USDT,31955.38,32397.51,31866.02,32328.97,24132.993,774488297.8,199600
1.62468E+12,6/26/2021 3:00,BTC/USDT,31923.91,32250.5,31920,31955.09,22862.452,732928468.2,194139
1.62467E+12,6/26/2021 2:00,BTC/USDT,31950,32065.92,31666.66,31924.68,23614.291,752657030.1,199324
1.62467E+12,6/26/2021 1:00,BTC/USDT,31980.71,32031,31507.28,31949.49,28450.332,903839745.2,243040
1.62467E+12,6/26/2021 0:00,BTC/USDT,31569.18,32199.06,31273.64,31980.71,52105.369,1652971179,399563
1.62466E+12,6/25/2021 23:00,BTC/USDT,31401.34,31952.45,31351.77,31568.07,30971.982,979550717.5,253369
1.62466E+12,6/25/2021 22:00,BTC/USDT,31781.52,31948.18,31250,31401.35,40109.144,1267538156,327147
1.62465E+12,6/25/2021 21:00,BTC/USDT,32170.47,32199.95,31535.4,31781.52,42298.795,1345746443,359733
1.62465E+12,6/25/2021 20:00,BTC/USDT,32195.99,32350,31893.79,32176.39,27380.879,879921576.4,225985
1.62465E+12,6/25/2021 19:00,BTC/USDT,32061.71,32491.8,31700.85,32192.38,41076.335,1321451255,328908
1.62464E+12,6/25/2021 18:00,BTC/USDT,31674.99,32278.91,31471,32061.15,55980.981,1791791101,409693
1.62464E+12,6/25/2021 17:00,BTC/USDT,31936.14,32226.01,31493.48,31675,58524.566,1865232870,464859
1.62464E+12,6/25/2021 16:00,BTC/USDT,32618.33,32924.99,31600,31936.14,101169.227,3252947642,753167
1.62463E+12,6/25/2021 15:00,BTC/USDT,32800.01,32960.14,32330.56,32618.31,72447.461,2366674064,513710
1.62463E+12,6/25/2021 14:00,BTC/USDT,32990.65,33458.22,32505,32800,71819.093,2373102581,541450
1.62463E+12,6/25/2021 13:00,BTC/USDT,33093.53,33200,32637,32992.28,59384.366,1956336372,436032
1.62462E+12,6/25/2021 12:00,BTC/USDT,33300,33578.46,32815.34,33096.46,67346.191,2235127326,506733
1.62462E+12,6/25/2021 11:00,BTC/USDT,33757.75,33872.9,33248.62,33300,49266.49,1650571629,377192
1.62462E+12,6/25/2021 10:00,BTC/USDT,33749.98,33948,33508,33757.76,38846.552,1310280298,313250
1.62461E+12,6/25/2021 9:00,BTC/USDT,34281,34479.1,33705,33749.99,38646.529,1316985968,318815
1.62461E+12,6/25/2021 8:00,BTC/USDT,34262.69,34402,33922.71,34280.99,32849.81,1121521047,282741
1.6246E+12,6/25/2021 7:00,BTC/USDT,34407.27,34417.02,33933,34262.69,41436.033,1415859289,328514
1.6246E+12,6/25/2021 6:00,BTC/USDT,34456.54,34560.98,34058.86,34407.84,31047.17,1067060396,262845
1.6246E+12,6/25/2021 5:00,BTC/USDT,34764.18,34878.7,34308,34456.53,29857.557,1030839463,247073
1.62459E+12,6/25/2021 4:00,BTC/USDT,35033.15,35085.88,34601,34764.18,23088.227,803720032.8,208279
1.62459E+12,6/25/2021 3:00,BTC/USDT,35137.83,35187.5,34782,35033.16,23615.725,826039537.2,213885
1.62459E+12,6/25/2021 2:00,BTC/USDT,34817.4,35500,34797.83,35137.83,49973.442,1758947329,396821
1.62458E+12,6/25/2021 1:00,BTC/USDT,34559.43,34820.34,34231.06,34816.64,34414.211,1186085105,256963
1.62458E+12,6/25/2021 0:00,BTC/USDT,34644.65,35135.8,34559.29,34559.44,31500.609,1097485604,248034
1.62458E+12,6/24/2021 23:00,BTC/USDT,34742.07,34828.88,34522.93,34644.64,16548.699,573711707.4,135801
1.62457E+12,6/24/2021 22:00,BTC/USDT,34754.83,34819.56,34505,34742.06,23343.022,808885210.1,184067
1.62457E+12,6/24/2021 21:00,BTC/USDT,34838.01,34889.45,34618.25,34754.82,15948.937,554339621.1,156162
1.62456E+12,6/24/2021 20:00,BTC/USDT,34839,34980,34682.67,34838.01,15674.379,546223115,151458
1.62456E+12,6/24/2021 19:00,BTC/USDT,34862.26,34897.97,34654.33,34839,16932.734,589154209.5,161087
1.62456E+12,6/24/2021 18:00,BTC/USDT,34966.43,35406.74,34807.78,34862.26,34562.99,1210167214,307597
1.62455E+12,6/24/2021 17:00,BTC/USDT,34485.61,35088,34485.6,34966.36,58481.091,2035038606,495225
1.62455E+12,6/24/2021 16:00,BTC/USDT,33851,34500,33751,34485.61,47815.801,1629773097,396072
1.62455E+12,6/24/2021 15:00,BTC/USDT,34019.07,34588,33810,33851,74238.334,2539799884,575952
1.62454E+12,6/24/2021 14:00,BTC/USDT,34040.4,34150,33822,34021.9,24713.182,839307237.6,199049
1.62454E+12,6/24/2021 13:00,BTC/USDT,34046.42,34109.23,33721.99,34040.39,27656.001,937762740.8,242706
1.62454E+12,6/24/2021 12:00,BTC/USDT,33816.03,34300.68,33788,34045.69,47736.794,1622830038,403821
1.62453E+12,6/24/2021 11:00,BTC/USDT,33215.73,33900,33212,33816.04,38806.976,1302514638,319892
1.62453E+12,6/24/2021 10:00,BTC/USDT,33248.18,33381.48,33119.99,33215.72,20349.362,676722785.7,179781
1.62453E+12,6/24/2021 9:00,BTC/USDT,33354.41,33606.09,33168.98,33248.18,32052.749,1067901392,248460
1.62452E+12,6/24/2021 8:00,BTC/USDT,32834.87,33388.99,32804.29,33354.42,34961.927,1155849782,274227
